weight_kg,avg_length_cm,avg_breadth_cm,temp_c,health_status
1.15,152.5,153.5,35.0,0
1.15,187.0,176.5,35.0,0
1.15,185.0,174.0,35.0,0
1.15,192.0,182.5,35.0,0
1.15,188.5,181.0,35.0,0
1.15,158.0,164.0,35.0,0
1.15,130.0,105.0,35.0,0
1.15,228.0,169.0,35.0,0
1.48,155.5,157.0,35.0,1
1.48,160.0,149.5,35.0,1
1.48,232.0,162.0,35.0,1
1.48,127.5,139.0,35.0,1
1.48,157.0,106.0,35.0,1
1.48,240.0,170.5,35.0,1
1.48,160.0,146.0,35.0,1
1.48,120.0,141.0,35.0,1
1.5,234.5,163.5,35.0,1
1.5,236.5,168.5,35.0,1
1.5,148.0,134.5,35.0,1
1.5,216.0,174.0,35.5,1
1.5,206.5,183.5,35.5,1
1.5,212.0,186.5,35.5,1
1.5,213.5,186.0,35.5,1
1.5,153.0,161.5,35.5,1
1.45,198.0,173.5,35.5,1
1.45,145.0,134.0,35.5,1
1.45,149.5,143.0,35.5,1
1.45,137.5,153.5,35.5,1
1.45,155.5,157.5,35.5,1
1.45,152.0,138.0,35.5,1
1.45,134.0,133.0,35.5,1
1.45,145.5,149.0,35.5,1
1.4,139.0,146.5,35.5,1
1.4,146.0,150.5,35.5,1
1.4,159.5,150.5,35.5,1
1.4,151.0,147.5,35.5,1
1.4,129.5,129.0,35.5,1
1.4,134.5,128.0,35.5,1
1.4,117.5,97.0,36.0,1
1.4,117.0,118.0,36.0,1
1.8,190.5,111.5,36.0,1
1.8,137.0,142.5,36.0,1
1.8,140.5,148.0,36.0,1
1.8,149.0,154.5,36.0,1
1.8,141.0,145.0,36.0,1
1.8,138.5,147.5,36.0,1
1.8,185.0,122.0,36.0,1
1.8,182.0,113.0,36.0,1
1.35,132.5,121.5,36.0,1
1.35,231.5,187.0,36.0,1
1.35,165.0,162.0,36.0,1
1.35,150.0,157.5,36.0,1
1.35,213.5,171.5,36.0,1
1.35,225.5,189.0,36.0,1
1.35,221.0,192.0,36.0,1
1.35,227.5,182.0,36.0,1
1.3,234.0,188.5,36.0,1
1.3,231.0,194.5,36.0,1
1.3,267.5,157.5,36.0,1
1.3,203.5,127.5,36.0,1
1.3,205.0,123.5,36.0,1
1.3,197.0,122.0,36.0,1
1.3,134.5,135.5,36.0,1
1.3,122.0,131.5,36.0,1
1.45,136.0,113.0,36.0,1
1.45,203.5,122.0,36.0,1
1.45,126.0,133.5,36.0,1
1.45,215.0,128.0,36.0,1
1.45,149.5,187.0,36.0,1
1.45,207.5,126.0,36.0,1
1.45,220.0,133.0,36.0,1
1.45,212.5,131.0,36.0,1
1.44,232.0,136.0,36.0,1
1.44,223.0,130.5,36.0,1
1.44,199.5,149.0,36.0,1
1.44,153.0,179.0,36.0,1
1.44,146.0,125.0,36.0,1
1.44,144.0,132.0,36.0,1
1.44,249.5,203.0,36.0,1
1.44,247.5,197.5,36.0,1
1.42,243.5,199.0,36.0,1
1.42,251.0,201.5,36.0,1
1.42,245.5,199.0,36.0,1
1.42,249.5,191.5,36.0,1
1.42,249.5,193.5,36.0,1
1.42,230.0,193.0,36.0,1
1.42,249.5,173.0,36.0,1
1.42,242.0,191.0,36.0,1
1.84,247.0,193.5,36.0,1
1.84,173.0,198.5,36.0,1
1.84,182.5,176.5,36.0,1
1.84,172.5,174.5,36.0,1
1.84,232.5,193.0,36.0,1
1.84,177.5,151.0,36.0,1
1.84,151.0,131.0,36.0,1
1.84,177.0,166.5,36.0,1
1.46,236.0,176.0,36.0,1
1.46,232.5,189.5,36.0,1
1.46,264.5,197.5,36.0,1
1.46,230.0,194.0,36.0,1
1.46,227.0,191.5,36.0,1
1.46,231.0,183.0,36.0,1
1.46,230.0,191.5,36.0,1
1.46,234.5,194.0,36.0,1
1.36,228.5,197.0,36.0,1
1.36,227.0,190.5,36.0,1
1.36,225.5,190.5,36.0,1
1.36,144.0,170.5,36.0,1
1.36,139.0,165.5,36.0,1
1.36,135.0,164.0,36.0,1
1.36,148.5,162.0,36.0,1
1.36,194.5,129.0,36.0,1
1.3,188.5,174.5,36.0,1
1.3,155.0,159.0,36.0,1
1.3,232.5,185.0,36.0,1
1.3,236.5,186.0,36.0,1
1.3,178.5,112.0,36.0,1
1.3,150.5,165.0,36.0,1
1.3,180.5,106.0,36.0,1
1.3,161.5,96.5,36.0,1
1.6,239.0,138.0,36.0,1
1.6,215.0,188.5,36.0,1
1.6,164.5,92.5,36.0,1
1.6,139.0,139.5,36.0,1
1.6,133.5,142.0,36.0,1
1.6,145.5,149.5,36.0,1
1.6,221.5,198.0,36.0,1
1.6,146.0,134.5,36.0,1
1.85,133.0,129.5,36.0,1
1.85,201.5,165.0,36.0,1
1.85,285.5,223.0,36.0,1
1.85,273.0,177.5,36.0,1
1.85,289.0,223.0,36.0,1
1.85,280.5,168.5,36.0,1
1.85,237.5,203.0,36.0,1
1.85,240.0,191.5,36.0,1
1.8,237.5,183.5,36.0,1
1.8,240.5,189.0,36.0,1
1.8,244.0,186.0,36.0,1
1.8,240.5,209.5,36.0,1
1.8,245.5,200.5,36.0,1
1.8,237.5,193.5,36.0,1
1.8,226.5,200.5,36.0,1
1.8,150.5,155.5,36.0,1
1.15,150.0,116.5,36.0,0
1.15,115.0,96.0,36.0,0
1.15,156.0,120.0,36.0,0
1.15,115.0,98.5,36.0,0
1.15,150.0,124.5,36.0,0
1.15,152.5,125.5,36.0,0
1.15,148.5,166.5,36.0,0
1.15,138.5,125.5,36.0,0
1.5,237.0,183.0,34.5,0
1.5,241.5,176.5,34.5,0
1.5,244.5,186.5,34.5,0
1.5,235.0,187.0,34.5,0
1.5,286.0,214.5,34.5,0
1.5,239.0,198.5,34.5,0
1.5,238.0,198.5,34.5,0
1.5,237.0,192.5,34.5,0
1.75,285.0,219.5,34.5,0
1.75,231.0,191.5,34.5,0
1.75,229.5,197.0,34.5,0
1.75,233.5,194.0,34.5,0
1.75,232.0,202.0,34.5,0
1.75,231.0,197.5,34.5,0
1.75,237.5,188.0,34.5,0
1.75,116.5,137.0,33.5,0
1.2,59.5,87.5,33.5,0
1.2,66.0,95.0,33.5,0
1.2,105.5,102.0,33.5,0
1.2,183.5,122.0,33.5,0
1.2,123.0,94.5,33.5,0
1.2,189.0,126.0,33.5,0
1.2,197.5,125.5,33.5,0
1.2,201.0,124.0,33.5,0
1.4,62.5,70.5,33.5,0
1.4,205.0,167.0,33.5,0
1.4,127.0,133.0,33.5,0
1.4,206.0,158.5,33.5,0
1.4,82.5,139.0,33.5,0
1.4,78.0,136.0,33.5,0
1.4,110.5,91.5,33.5,0
1.4,56.5,92.0,34.0,0
1.7,59.5,95.5,34.0,0
1.7,56.0,91.5,34.0,0
1.7,59.0,91.0,34.0,0
1.7,55.0,91.0,34.0,0
1.7,57.0,93.5,34.0,0
1.7,134.5,67.5,34.0,0
1.7,134.5,67.5,34.0,0
1.7,138.0,67.0,34.0,0
1.48,69.0,99.0,34.0,0
1.48,117.5,45.0,34.0,0
1.48,139.5,68.0,34.0,0
1.48,75.5,120.5,34.0,0
1.48,135.5,66.5,34.0,0
1.48,230.0,176.0,35.0,1
1.48,251.5,174.5,35.0,1
1.48,192.5,156.0,35.0,1
1.45,75.0,109.5,35.0,1
1.45,201.5,150.0,35.0,1
1.45,156.5,145.5,35.0,1
1.45,228.0,167.5,35.0,1
1.45,231.0,180.5,35.0,1
1.45,247.5,174.0,35.0,1
1.45,165.5,131.0,35.0,1
1.45,190.0,161.5,35.0,1
1.4,180.0,156.0,35.0,1
1.4,227.5,180.5,35.0,1
1.4,281.5,174.5,35.0,1
1.4,106.5,166.0,35.0,1
1.4,300.0,208.0,35.0,1
1.4,116.5,157.5,35.0,1
1.4,120.0,149.5,35.0,1
1.4,156.5,145.0,35.0,1
1.33,116.0,154.5,35.0,1
1.33,133.0,175.0,35.0,1
1.33,219.0,168.5,35.0,1
1.33,77.0,96.0,35.0,1
1.33,102.0,119.0,35.0,1
1.33,159.0,138.5,35.0,1
1.33,186.5,152.0,35.0,1
1.33,153.0,130.5,35.0,1
1.6,127.5,93.5,35.0,1
1.6,144.5,156.0,35.0,1
1.6,125.0,96.0,35.0,1
1.6,161.0,148.0,35.0,1
1.6,161.5,133.5,35.0,1
1.6,157.5,148.5,35.0,1
1.6,188.0,160.0,35.0,1
1.6,180.5,166.5,35.0,1
1.5,163.0,119.5,35.0,1
1.5,147.0,138.5,35.0,1
1.5,206.0,144.5,35.0,1
1.5,145.5,140.5,35.0,1
1.5,92.85,206.25,30.0,0
1.5,138.5,98.0,30.0,0
1.5,174.3,212.85,30.0,0
1.5,124.75,104.25,30.0,0
1.45,96.7,95.9,30.0,0
1.45,156.0,127.9,30.0,0
1.45,95.6,126.6,30.0,0
1.45,153.15,93.35,30.5,0
1.45,193.85,131.15,30.5,0
1.45,91.9,63.7,30.5,0
1.45,176.25,161.6,30.5,0
1.85,281.55,191.45,30.5,0
1.85,109.35,36.2,30.5,0
1.85,96.4,45.25,30.5,0
1.85,115.15,72.75,31.0,0
1.85,77.25,42.35,31.0,0
1.85,70.0,62.7,31.0,0
1.85,214.65,201.3,31.0,0
1.85,187.75,175.95,31.0,0
1.15,111.0,45.8,31.0,0
1.15,128.25,88.75,31.0,0
1.15,65.75,179.6,31.0,0
1.15,123.85,130.75,32.0,0
1.15,140.85,189.4,32.0,0
1.15,38.0,51.1,32.0,0
1.15,214.5,206.45,32.0,0
1.15,110.55000000000001,123.65,32.0,0
1.4,88.15,145.15,32.0,0
1.4,66.2,124.15,32.0,0
1.4,128.25,78.75,32.0,0
1.4,81.15,117.8,32.0,0
1.4,89.15,139.1,32.0,0
1.4,128.75,101.0,32.0,0
1.4,115.75,160.9,32.0,0
1.4,241.75,216.8,32.0,0
1.4,130.25,132.0,32.0,0
1.4,287.35,239.75,32.0,0
1.4,219.5,198.0,32.0,0
1.4,175.89999999999998,129.1,32.0,0
1.4,94.4,160.6,32.0,0
1.4,158.4,179.85,32.0,0
1.4,139.45,86.6,32.0,0
1.35,64.15,129.85,32.0,0
1.35,156.35,133.75,32.0,0
1.35,183.35,117.0,32.0,0
1.35,133.35,195.0,32.0,0
1.35,207.35,251.6,32.0,0
1.35,139.65,117.25,32.0,0
1.35,128.45,138.0,32.0,0
1.35,168.1,174.1,32.0,0
1.15,200.4,190.5,32.0,0
1.15,213.5,141.85,32.0,0
1.15,209.9,162.0,32.0,0
1.15,101.95,74.5,32.0,0
1.15,218.0,138.6,32.0,0
1.15,224.0,205.85,32.5,0
1.15,90.35,145.0,32.5,0
1.15,233.9,176.0,32.5,0
1.4,89.1,121.6,32.5,0
1.4,186.0,111.25,32.5,0
1.4,163.15,172.5,32.5,0
1.4,89.85,204.5,32.5,0
1.4,169.15,132.5,32.5,0
1.4,255.8,172.85,32.5,0
1.4,126.4,152.35,32.5,0
1.4,95.85,98.65,32.5,0
1.35,125.25,171.3,32.5,0
1.35,80.35,231.25,32.5,0
1.35,200.25,186.9,32.5,0
1.35,186.6,183.5,32.5,0
1.35,196.25,183.35,32.5,0
1.35,184.4,151.4,32.5,0
1.35,149.4,161.6,32.0,0
1.35,88.75,140.45,32.0,0
1.4,115.35,178.65,32.0,0
1.4,119.25,66.4,32.0,0
1.4,160.0,143.7,32.0,0
1.4,147.85,117.44999999999999,32.0,0
1.4,134.35,210.85,32.0,0
1.4,140.85,78.5,32.0,0
1.4,197.35,186.8,32.0,0
1.4,241.9,238.6,32.0,0
1.6,55.35,62.75,32.0,0
